,income_groups,age,gender,year,population
463,high_income,1.0,2.0,1960.0,7673277.0
465,high_income,1.0,2.0,1962.0,7728676.0
466,high_income,1.0,2.0,1963.0,7750509.0
467,high_income,1.0,2.0,1964.0,7759303.0
468,high_income,1.0,2.0,1965.0,7794655.0
470,high_income,1.0,2.0,1967.0,7515063.0
471,high_income,1.0,2.0,1968.0,7427394.0
472,high_income,1.0,2.0,1969.0,7420369.0
473,high_income,1.0,2.0,1970.0,7359125.0
474,high_income,1.0,2.0,1971.0,7388196.0
475,high_income,1.0,2.0,1972.0,7432697.0
479,high_income,1.0,2.0,1976.0,6924698.0
480,high_income,1.0,2.0,1977.0,6834087.0
481,high_income,1.0,2.0,1978.0,6823439.0
482,high_income,1.0,2.0,1979.0,6811397.0
483,high_income,1.0,2.0,1980.0,6847032.0
484,high_income,1.0,2.0,1981.0,6911630.0
485,high_income,1.0,2.0,1982.0,6908156.0
486,high_income,1.0,2.0,1983.0,6871327.0
487,high_income,1.0,2.0,1984.0,6805963.0
488,high_income,1.0,2.0,1985.0,6721664.0
490,high_income,1.0,2.0,1987.0,6653676.0
491,high_income,1.0,2.0,1988.0,6632131.0
492,high_income,1.0,2.0,1989.0,6645054.0
493,high_income,1.0,2.0,1990.0,6678958.0
494,high_income,1.0,2.0,1991.0,6716991.0
495,high_income,1.0,2.0,1992.0,6734853.0
496,high_income,1.0,2.0,1993.0,6694647.0
497,high_income,1.0,2.0,1994.0,6597875.0
498,high_income,1.0,2.0,1995.0,6490488.0
499,high_income,1.0,2.0,1996.0,6395924.0
502,high_income,1.0,2.0,1999.0,6299450.0
503,high_income,1.0,2.0,2000.0,6248230.0
505,high_income,1.0,2.0,2002.0,6275446.0
508,high_income,1.0,2.0,2005.0,6213851.0
509,high_income,1.0,2.0,2006.0,6227025.0
510,high_income,1.0,2.0,2007.0,6297166.0
512,high_income,1.0,2.0,2009.0,6486355.0
515,high_income,1.0,2.0,2012.0,6388324.0
517,high_income,1.0,2.0,2014.0,6331903.0
518,high_income,1.0,2.0,2015.0,6311051.0
519,high_income,1.0,2.0,2016.0,6326062.0
521,high_income,1.0,2.0,2018.0,6235133.0
522,high_income,1.0,2.0,2019.0,6089919.0
523,high_income,1.0,2.0,2020.0,5968541.0
524,high_income,1.0,2.0,2021.0,5804229.0
525,high_income,1.0,2.0,2022.0,5728391.0
526,high_income,1.0,2.0,2023.0,5701994.0
604,high_income,10.0,1.0,1950.0,5970076.0
605,high_income,10.0,1.0,1951.0,6036814.0
606,high_income,10.0,1.0,1952.0,6038008.0
608,high_income,10.0,1.0,1954.0,6127778.0
609,high_income,10.0,1.0,1955.0,5973970.0
610,high_income,10.0,1.0,1956.0,6481399.0
611,high_income,10.0,1.0,1957.0,7254198.0
612,high_income,10.0,1.0,1958.0,7450828.0
613,high_income,10.0,1.0,1959.0,7390764.0
615,high_income,10.0,1.0,1961.0,7335254.0
616,high_income,10.0,1.0,1962.0,7358338.0
617,high_income,10.0,1.0,1963.0,7410353.0
618,high_income,10.0,1.0,1964.0,7478418.0
620,high_income,10.0,1.0,1966.0,7676453.0
622,high_income,10.0,1.0,1968.0,7858030.0
623,high_income,10.0,1.0,1969.0,7992788.0
624,high_income,10.0,1.0,1970.0,8075563.0
625,high_income,10.0,1.0,1971.0,8115792.0
627,high_income,10.0,1.0,1973.0,8115487.0
629,high_income,10.0,1.0,1975.0,8083932.0
631,high_income,10.0,1.0,1977.0,7739363.0
632,high_income,10.0,1.0,1978.0,7755657.0
633,high_income,10.0,1.0,1979.0,7764297.0
634,high_income,10.0,1.0,1980.0,7838585.0
636,high_income,10.0,1.0,1982.0,7743007.0
637,high_income,10.0,1.0,1983.0,7557503.0
639,high_income,10.0,1.0,1985.0,7334818.0
640,high_income,10.0,1.0,1986.0,7221960.0
642,high_income,10.0,1.0,1988.0,7168392.0
644,high_income,10.0,1.0,1990.0,7322016.0
646,high_income,10.0,1.0,1992.0,7315956.0
647,high_income,10.0,1.0,1993.0,7260859.0
648,high_income,10.0,1.0,1994.0,7187066.0
649,high_income,10.0,1.0,1995.0,7164122.0
652,high_income,10.0,1.0,1998.0,7132614.0
653,high_income,10.0,1.0,1999.0,7196209.0
654,high_income,10.0,1.0,2000.0,7294671.0
655,high_income,10.0,1.0,2001.0,7335460.0
657,high_income,10.0,1.0,2003.0,7155730.0
658,high_income,10.0,1.0,2004.0,7041429.0
660,high_income,10.0,1.0,2006.0,6907754.0
663,high_income,10.0,1.0,2009.0,6826173.0
665,high_income,10.0,1.0,2011.0,6847511.0
667,high_income,10.0,1.0,2013.0,6740087.0
668,high_income,10.0,1.0,2014.0,6776653.0
669,high_income,10.0,1.0,2015.0,6817304.0
671,high_income,10.0,1.0,2017.0,7058790.0
672,high_income,10.0,1.0,2018.0,7143693.0
673,high_income,10.0,1.0,2019.0,7142662.0
676,high_income,10.0,1.0,2022.0,7019734.0
755,high_income,10.0,2.0,1950.0,5817634.0
756,high_income,10.0,2.0,1951.0,5873254.0
757,high_income,10.0,2.0,1952.0,5851729.0
759,high_income,10.0,2.0,1954.0,5968468.0
761,high_income,10.0,2.0,1956.0,6261682.0
762,high_income,10.0,2.0,1957.0,7000660.0
763,high_income,10.0,2.0,1958.0,7211805.0
765,high_income,10.0,2.0,1960.0,7092838.0
766,high_income,10.0,2.0,1961.0,7078355.0
768,high_income,10.0,2.0,1963.0,7157702.0
769,high_income,10.0,2.0,1964.0,7211681.0
770,high_income,10.0,2.0,1965.0,7333302.0
771,high_income,10.0,2.0,1966.0,7422685.0
773,high_income,10.0,2.0,1968.0,7554047.0
774,high_income,10.0,2.0,1969.0,7654619.0
776,high_income,10.0,2.0,1971.0,7760362.0
778,high_income,10.0,2.0,1973.0,7751530.0
779,high_income,10.0,2.0,1974.0,7784614.0
780,high_income,10.0,2.0,1975.0,7716038.0
781,high_income,10.0,2.0,1976.0,7489554.0
783,high_income,10.0,2.0,1978.0,7390926.0
784,high_income,10.0,2.0,1979.0,7384737.0
785,high_income,10.0,2.0,1980.0,7446284.0
787,high_income,10.0,2.0,1982.0,7347895.0
788,high_income,10.0,2.0,1983.0,7168298.0
789,high_income,10.0,2.0,1984.0,7061454.0
790,high_income,10.0,2.0,1985.0,6957129.0
791,high_income,10.0,2.0,1986.0,6851334.0
792,high_income,10.0,2.0,1987.0,6809035.0
793,high_income,10.0,2.0,1988.0,6804980.0
794,high_income,10.0,2.0,1989.0,6858738.0
795,high_income,10.0,2.0,1990.0,6949479.0
797,high_income,10.0,2.0,1992.0,6942864.0
798,high_income,10.0,2.0,1993.0,6883502.0
800,high_income,10.0,2.0,1995.0,6794826.0
801,high_income,10.0,2.0,1996.0,6764288.0
803,high_income,10.0,2.0,1998.0,6748345.0
804,high_income,10.0,2.0,1999.0,6802184.0
805,high_income,10.0,2.0,2000.0,6878138.0
806,high_income,10.0,2.0,2001.0,6907065.0
807,high_income,10.0,2.0,2002.0,6844067.0
808,high_income,10.0,2.0,2003.0,6733973.0
810,high_income,10.0,2.0,2005.0,6551402.0
811,high_income,10.0,2.0,2006.0,6506479.0
812,high_income,10.0,2.0,2007.0,6490814.0
813,high_income,10.0,2.0,2008.0,6482426.0
815,high_income,10.0,2.0,2010.0,6468216.0
816,high_income,10.0,2.0,2011.0,6473578.0
817,high_income,10.0,2.0,2012.0,6395419.0
818,high_income,10.0,2.0,2013.0,6380103.0
819,high_income,10.0,2.0,2014.0,6416909.0
820,high_income,10.0,2.0,2015.0,6452765.0
821,high_income,10.0,2.0,2016.0,6544808.0
822,high_income,10.0,2.0,2017.0,6679744.0
823,high_income,10.0,2.0,2018.0,6762361.0
824,high_income,10.0,2.0,2019.0,6761154.0
825,high_income,10.0,2.0,2020.0,6711732.0
826,high_income,10.0,2.0,2021.0,6662756.0
906,high_income,100.0,1.0,1950.0,2517.0
907,high_income,100.0,1.0,1951.0,2248.0
909,high_income,100.0,1.0,1953.0,2153.0
912,high_income,100.0,1.0,1956.0,2221.0
914,high_income,100.0,1.0,1958.0,2098.0
915,high_income,100.0,1.0,1959.0,1981.0
916,high_income,100.0,1.0,1960.0,1997.0
917,high_income,100.0,1.0,1961.0,2115.0
918,high_income,100.0,1.0,1962.0,2276.0
919,high_income,100.0,1.0,1963.0,2425.0
920,high_income,100.0,1.0,1964.0,2690.0
921,high_income,100.0,1.0,1965.0,3000.0
922,high_income,100.0,1.0,1966.0,3220.0
923,high_income,100.0,1.0,1967.0,3425.0
924,high_income,100.0,1.0,1968.0,3659.0
925,high_income,100.0,1.0,1969.0,3951.0
926,high_income,100.0,1.0,1970.0,4351.0
927,high_income,100.0,1.0,1971.0,473600.0
929,high_income,100.0,1.0,1973.0,5297.0
930,high_income,100.0,1.0,1974.0,5596.0
931,high_income,100.0,1.0,1975.0,5966.0
932,high_income,100.0,1.0,1976.0,6338.0
933,high_income,100.0,1.0,1977.0,6701.0
937,high_income,100.0,1.0,1981.0,8034.0
938,high_income,100.0,1.0,1982.0,8515.0
939,high_income,100.0,1.0,1983.0,8988.0
940,high_income,100.0,1.0,1984.0,9414.0
941,high_income,100.0,1.0,1985.0,9774.0
942,high_income,100.0,1.0,1986.0,10114.0
943,high_income,100.0,1.0,1987.0,10574.0
944,high_income,100.0,1.0,1988.0,11028.0
945,high_income,100.0,1.0,1989.0,11454.0
946,high_income,100.0,1.0,1990.0,11859.0
948,high_income,100.0,1.0,1992.0,12313.0
950,high_income,100.0,1.0,1994.0,12074.0
951,high_income,100.0,1.0,1995.0,12200.0
952,high_income,100.0,1.0,1996.0,12527.0
953,high_income,100.0,1.0,1997.0,13180.0
955,high_income,100.0,1.0,1999.0,15111.0
956,high_income,100.0,1.0,2000.0,16265.0
957,high_income,100.0,1.0,2001.0,17520.0
961,high_income,100.0,1.0,2005.0,21984.0
962,high_income,100.0,1.0,2006.0,23259.0
964,high_income,100.0,1.0,2008.0,26483.0
965,high_income,100.0,1.0,2009.0,28294.0
966,high_income,100.0,1.0,2010.0,30305.0
968,high_income,100.0,1.0,2012.0,34096.0
969,high_income,100.0,1.0,2013.0,36300.0
970,high_income,100.0,1.0,2014.0,38440.0
972,high_income,100.0,1.0,2016.0,40281.0
973,high_income,100.0,1.0,2017.0,41509.0
974,high_income,100.0,1.0,2018.0,43668.0
975,high_income,100.0,1.0,2019.0,47614.0
976,high_income,100.0,1.0,2020.0,53333.0
977,high_income,100.0,1.0,2021.0,59982.0
978,high_income,100.0,1.0,2022.0,64066.0
979,high_income,100.0,1.0,2023.0,66519.0
1057,high_income,100.0,2.0,1950.0,6150.0
1058,high_income,100.0,2.0,1951.0,5679.0
1059,high_income,100.0,2.0,1952.0,5552.0
1061,high_income,100.0,2.0,1954.0,5578.0
1062,high_income,100.0,2.0,1955.0,5636.0
1065,high_income,100.0,2.0,1958.0,5737.0
1066,high_income,100.0,2.0,1959.0,5542.0
1067,high_income,100.0,2.0,1960.0,5612.0
1069,high_income,100.0,2.0,1962.0,6486.0
1070,high_income,100.0,2.0,1963.0,6974.0
1071,high_income,100.0,2.0,1964.0,7598.0
1072,high_income,100.0,2.0,1965.0,8321.0
1073,high_income,100.0,2.0,1966.0,8973.0
1075,high_income,100.0,2.0,1968.0,10243.0
1076,high_income,100.0,2.0,1969.0,10931.0
1077,high_income,100.0,2.0,1970.0,11836.0
1078,high_income,100.0,2.0,1971.0,12853.0
1080,high_income,100.0,2.0,1973.0,15255.0
1081,high_income,100.0,2.0,1974.0,16518.0
1082,high_income,100.0,2.0,1975.0,18151.0
1086,high_income,100.0,2.0,1979.0,24306.0
1087,high_income,100.0,2.0,1980.0,26037.0
1088,high_income,100.0,2.0,1981.0,28001.0
1089,high_income,100.0,2.0,1982.0,30682.0
1091,high_income,100.0,2.0,1984.0,36805.0
1092,high_income,100.0,2.0,1985.0,40149.0
1093,high_income,100.0,2.0,1986.0,43196.0
1094,high_income,100.0,2.0,1987.0,46158.0
1095,high_income,100.0,2.0,1988.0,48920.0
1097,high_income,100.0,2.0,1990.0,54045.0
1098,high_income,100.0,2.0,1991.0,57105.0
1100,high_income,100.0,2.0,1993.0,63481.0
1101,high_income,100.0,2.0,1994.0,66627.0
1102,high_income,100.0,2.0,1995.0,70410.0
1103,high_income,100.0,2.0,1996.0,74522.0
1104,high_income,100.0,2.0,1997.0,79332.0
1105,high_income,100.0,2.0,1998.0,84601.0
1106,high_income,100.0,2.0,1999.0,89876.0
1108,high_income,100.0,2.0,2001.0,103091.0
1109,high_income,100.0,2.0,2002.0,110062.0
1110,high_income,100.0,2.0,2003.0,116030.0
1111,high_income,100.0,2.0,2004.0,122476.0
1112,high_income,100.0,2.0,2005.0,129858.0
1113,high_income,100.0,2.0,2006.0,138164.0
1115,high_income,100.0,2.0,2008.0,157662.0
1116,high_income,100.0,2.0,2009.0,167948.0
1117,high_income,100.0,2.0,2010.0,178683.0
1119,high_income,100.0,2.0,2012.0,196835.0
1121,high_income,100.0,2.0,2014.0,213562.0
1123,high_income,100.0,2.0,2016.0,220017.0
1126,high_income,100.0,2.0,2019.0,245215.0
1128,high_income,100.0,2.0,2021.0,290645.0
1130,high_income,100.0,2.0,2023.0,314643.0
1209,high_income,11.0,1.0,1951.0,5949900.0
1212,high_income,11.0,1.0,1954.0,6126472.0
1213,high_income,11.0,1.0,1955.0,6124639.0
1215,high_income,11.0,1.0,1957.0,6492664.0
1217,high_income,11.0,1.0,1959.0,7451722.0
1218,high_income,11.0,1.0,1960.0,7396762.0
1219,high_income,11.0,1.0,1961.0,7346918.0
1220,high_income,11.0,1.0,1962.0,7342227.0
1221,high_income,11.0,1.0,1963.0,7363404.0
1222,high_income,11.0,1.0,1964.0,7415452.0
1226,high_income,11.0,1.0,1968.0,7743817.0
1227,high_income,11.0,1.0,1969.0,7871921.0
1228,high_income,11.0,1.0,1970.0,8007990.0
1229,high_income,11.0,1.0,1971.0,8094910.0
1230,high_income,11.0,1.0,1972.0,8133878.0
1232,high_income,11.0,1.0,1974.0,8132893.0
1233,high_income,11.0,1.0,1975.0,8170632.0
1234,high_income,11.0,1.0,1976.0,8095998.0
1235,high_income,11.0,1.0,1977.0,7863848.0
1237,high_income,11.0,1.0,1979.0,7764251.0
1239,high_income,11.0,1.0,1981.0,7861346.0
1240,high_income,11.0,1.0,1982.0,7887623.0
1243,high_income,11.0,1.0,1985.0,7464151.0
1244,high_income,11.0,1.0,1986.0,7353145.0
1245,high_income,11.0,1.0,1987.0,7239318.0
1246,high_income,11.0,1.0,1988.0,7204446.0
1247,high_income,11.0,1.0,1989.0,7197199.0
1249,high_income,11.0,1.0,1991.0,7348980.0
1250,high_income,11.0,1.0,1992.0,7376594.0
1251,high_income,11.0,1.0,1993.0,7345840.0
1252,high_income,11.0,1.0,1994.0,7287157.0
1255,high_income,11.0,1.0,1997.0,7171917.0
1256,high_income,11.0,1.0,1998.0,7134515.0
1257,high_income,11.0,1.0,1999.0,7164331.0
1258,high_income,11.0,1.0,2000.0,7242000.0
1259,high_income,11.0,1.0,2001.0,7343816.0
1260,high_income,11.0,1.0,2002.0,7382772.0
1261,high_income,11.0,1.0,2003.0,7311720.0
1262,high_income,11.0,1.0,2004.0,7196689.0
1263,high_income,11.0,1.0,2005.0,7081198.0
1264,high_income,11.0,1.0,2006.0,6999775.0
1265,high_income,11.0,1.0,2007.0,6949661.0
1267,high_income,11.0,1.0,2009.0,6905428.0
1268,high_income,11.0,1.0,2010.0,6860503.0
1269,high_income,11.0,1.0,2011.0,6879413.0
1270,high_income,11.0,1.0,2012.0,6880056.0
1271,high_income,11.0,1.0,2013.0,6787790.0
1272,high_income,11.0,1.0,2014.0,6771309.0
1273,high_income,11.0,1.0,2015.0,6813460.0
1274,high_income,11.0,1.0,2016.0,6855821.0
1275,high_income,11.0,1.0,2017.0,6953209.0
1276,high_income,11.0,1.0,2018.0,7091655.0
1277,high_income,11.0,1.0,2019.0,7177270.0
1278,high_income,11.0,1.0,2020.0,7163402.0
1279,high_income,11.0,1.0,2021.0,7093606.0
1281,high_income,11.0,1.0,2023.0,7047991.0
1359,high_income,11.0,2.0,1950.0,5656437.0
1360,high_income,11.0,2.0,1951.0,5811292.0
1362,high_income,11.0,2.0,1953.0,5847348.0
1363,high_income,11.0,2.0,1954.0,5959111.0
1366,high_income,11.0,2.0,1957.0,6275913.0
1367,high_income,11.0,2.0,1958.0,7017484.0
1368,high_income,11.0,2.0,1959.0,7214437.0
1369,high_income,11.0,2.0,1960.0,7165310.0
1370,high_income,11.0,2.0,1961.0,7099568.0
1371,high_income,11.0,2.0,1962.0,7082714.0
1372,high_income,11.0,2.0,1963.0,7111122.0
1376,high_income,11.0,2.0,1967.0,7427522.0
1377,high_income,11.0,2.0,1968.0,7464616.0
1378,high_income,11.0,2.0,1969.0,7563430.0
1380,high_income,11.0,2.0,1971.0,7730753.0
1381,high_income,11.0,2.0,1972.0,7772808.0
1382,high_income,11.0,2.0,1973.0,7757580.0
1383,high_income,11.0,2.0,1974.0,7765336.0
1384,high_income,11.0,2.0,1975.0,7797165.0
1385,high_income,11.0,2.0,1976.0,7725953.0
1386,high_income,11.0,2.0,1977.0,7497516.0
1387,high_income,11.0,2.0,1978.0,7385922.0
1388,high_income,11.0,2.0,1979.0,7398114.0
1390,high_income,11.0,2.0,1981.0,7463613.0
1391,high_income,11.0,2.0,1982.0,7481869.0
1392,high_income,11.0,2.0,1983.0,7358325.0
1393,high_income,11.0,2.0,1984.0,7178398.0
1394,high_income,11.0,2.0,1985.0,7073728.0
1396,high_income,11.0,2.0,1987.0,6863794.0
1398,high_income,11.0,2.0,1989.0,6833617.0
1399,high_income,11.0,2.0,1990.0,6876443.0
1404,high_income,11.0,2.0,1995.0,6834864.0
1405,high_income,11.0,2.0,1996.0,6817248.0
1407,high_income,11.0,2.0,1998.0,6746609.0
1408,high_income,11.0,2.0,1999.0,6769317.0
1409,high_income,11.0,2.0,2000.0,6831879.0
1410,high_income,11.0,2.0,2001.0,6909477.0
1411,high_income,11.0,2.0,2002.0,6939086.0
1414,high_income,11.0,2.0,2005.0,6656168.0
1415,high_income,11.0,2.0,2006.0,6582966.0
1416,high_income,11.0,2.0,2007.0,6539740.0
1417,high_income,11.0,2.0,2008.0,6525092.0
1418,high_income,11.0,2.0,2009.0,6512277.0
1420,high_income,11.0,2.0,2011.0,6497669.0
1422,high_income,11.0,2.0,2013.0,6421991.0
1423,high_income,11.0,2.0,2014.0,6408050.0
1425,high_income,11.0,2.0,2016.0,6485011.0
1426,high_income,11.0,2.0,2017.0,6575193.0
1427,high_income,11.0,2.0,2018.0,6707832.0
1428,high_income,11.0,2.0,2019.0,6791086.0
1429,high_income,11.0,2.0,2020.0,6779804.0
1430,high_income,11.0,2.0,2021.0,6719269.0
